image,has_xml,pts_total,pts_used,subset,out_img,out_lbl
P8174488,True,13,13,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174488.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174488.txt
P8174489,True,22,22,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174489.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174489.txt
P8174503,True,25,25,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174503.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174503.txt
P8174504,True,10,10,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174504.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174504.txt
P8174523,True,17,17,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174523.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174523.txt
P8174524,True,4,4,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174524.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174524.txt
P8174553,True,2,2,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8174553.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8174553.txt
P8174554,True,27,27,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174554.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174554.txt
P8174564,True,73,73,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174564.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174564.txt
P8174565,True,9,9,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174565.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174565.txt
P8174584,True,6,6,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174584.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174584.txt
P8174585,True,48,48,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174585.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174585.txt
P8174601,True,22,22,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8174601.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8174601.txt
P8174602,True,33,33,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8174602.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8174602.txt
P8174625,True,86,86,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174625.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174625.txt
P8174626,True,91,91,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8174626.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8174626.txt
P8174640,True,13,13,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174640.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174640.txt
P8174641,True,85,85,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174641.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174641.txt
P8174659,True,67,67,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174659.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174659.txt
P8174660,True,30,30,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8174660.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8174660.txt
P8174675,True,2,2,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8174675.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8174675.txt
P8174676,True,11,11,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174676.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174676.txt
P8174727,True,10,10,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174727.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174727.txt
P8174728,True,60,60,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174728.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174728.txt
P8174746,True,46,46,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174746.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174746.txt
P8174747,True,15,15,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174747.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174747.txt
P8174755,True,91,91,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174755.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174755.txt
P8174756,True,13,13,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174756.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174756.txt
P8174772,True,1,1,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174772.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174772.txt
P8174773,True,95,95,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174773.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174773.txt
P8174781,True,45,45,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174781.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174781.txt
P8174782,True,16,16,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174782.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174782.txt
P8174815,True,11,11,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174815.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174815.txt
P8174816,True,92,92,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174816.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174816.txt
P8174837,True,58,58,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174837.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174837.txt
P8174838,True,7,7,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174838.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174838.txt
P8174870,True,25,25,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174870.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174870.txt
P8174871,True,15,15,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8174871.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8174871.txt
P8174885,True,157,154,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174885.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174885.txt
P8174886,True,157,157,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174886.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174886.txt
P8174902,True,50,50,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174902.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174902.txt
P8174903,True,5,5,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174903.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174903.txt
P8174922,True,18,18,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174922.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174922.txt
P8174923,True,150,149,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174923.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174923.txt
P8174935,True,35,35,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174935.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174935.txt
P8174936,True,84,84,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174936.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174936.txt
P8184963,True,5,5,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8184963.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8184963.txt
P8184964,True,181,181,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8184964.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8184964.txt
P8184997,True,74,73,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8184997.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8184997.txt
P8184998,True,2,2,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8184998.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8184998.txt
P8185015,True,63,63,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185015.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185015.txt
P8185016,True,2,2,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185016.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185016.txt
P8185030,True,6,6,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185030.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185030.txt
P8185031,True,42,42,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185031.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185031.txt
P8185056,True,3,3,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185056.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185056.txt
P8185057,True,90,90,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185057.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185057.txt
P8185062,True,75,75,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185062.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185062.txt
P8185063,True,5,5,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8185063.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8185063.txt
P8185091,True,18,18,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185091.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185091.txt
P8185092,True,141,141,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8185092.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8185092.txt
P8185093,True,100,100,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185093.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185093.txt
P8185094,True,34,34,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185094.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185094.txt
P8185117,True,15,15,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185117.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185117.txt
P8185118,True,115,115,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8185118.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8185118.txt
P8185138,True,22,22,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185138.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185138.txt
P8185139,True,180,180,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8185139.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8185139.txt
P8185164,True,10,10,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185164.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185164.txt
P8185165,True,54,54,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185165.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185165.txt
P8185201,True,58,58,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185201.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185201.txt
P8185202,True,4,4,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185202.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185202.txt
P8185212,True,18,18,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185212.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185212.txt
P8185213,True,28,28,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185213.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185213.txt
P8185270,True,115,115,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185270.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185270.txt
P8185271,True,4,4,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8185271.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8185271.txt
Q6165469,True,26,25,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165469.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165469.txt
Q6165470,True,16,16,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/Q6165470.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/Q6165470.txt
Q6165497,True,3,3,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165497.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165497.txt
Q6165498,True,73,72,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165498.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165498.txt
Q6165509,True,25,24,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165509.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165509.txt
Q6165510,True,29,29,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165510.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165510.txt
Q6165529,True,12,12,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165529.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165529.txt
Q6165530,True,55,55,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165530.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165530.txt
Q6165547,True,134,134,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165547.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165547.txt
Q6165548,True,60,60,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165548.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165548.txt
Q6165565,True,64,64,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165565.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165565.txt
Q6165566,True,39,39,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165566.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165566.txt
Q6165577,True,20,20,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165577.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165577.txt
Q6165578,True,44,44,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165578.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165578.txt
Q6165597,True,8,7,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165597.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165597.txt
Q6165598,True,21,20,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/Q6165598.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/Q6165598.txt
Q6165615,True,32,32,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165615.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165615.txt
Q6165616,False,0,0,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165616.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165616.txt
Q6165635,True,51,51,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165635.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165635.txt
Q6165636,True,7,7,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/Q6165636.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/Q6165636.txt
Q6165675,True,26,26,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165675.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165675.txt
Q6165676,True,13,13,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165676.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165676.txt
Q6165695,True,33,33,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165695.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165695.txt
Q6165696,True,8,8,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165696.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165696.txt
Q6165703,True,47,47,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165703.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165703.txt
Q6165704,True,18,18,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165704.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165704.txt
Q6165717,True,0,0,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165717.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165717.txt
Q6165718,True,30,28,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/Q6165718.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/Q6165718.txt
Q6165741,True,8,8,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165741.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165741.txt
Q6165742,True,61,60,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165742.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165742.txt
Q6165757,True,8,8,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165757.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165757.txt
Q6165758,True,66,66,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165758.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165758.txt
Q6165789,True,17,17,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165789.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165789.txt
Q6165790,True,111,111,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165790.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165790.txt
Q6165803,True,73,73,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165803.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165803.txt
Q6165804,True,17,17,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/Q6165804.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/Q6165804.txt
